Locus_ID,Assembly_chainid,Assembly_speciestaxid
NZ_CP015152,1618665,1428
NZ_CP015153,1618665,1428
NZ_CP015154,1618665,1428
NZ_CP015155,1618665,1428
NZ_CP015156,1618665,1428
NZ_CP014290,1595725,1428
NZ_CP014288,1595725,1428
NZ_CP014287,1595725,1428
NZ_CP014289,1595725,1428
NZ_CP014286,1595725,1428
NZ_CP014285,1595725,1428
NZ_CP014284,1595725,1428
NZ_CP014283,1595725,1428
NZ_CP022346,2222555,1428
NZ_CP013273,1455345,1428
NZ_CP009336,832485,1428
NZ_CP009334,832485,1428
NZ_CP009332,832485,1428
NZ_CP009333,832485,1428
NZ_CP014848,1598095,1428
NZ_CP014849,1598095,1428
NZ_CP014850,1598095,1428
NZ_CP014851,1598095,1428
NZ_CP014852,1598095,1428
NZ_CP014853,1598095,1428
NZ_CP009599,832825,1428
NZ_CP009719,832925,1428
NZ_CP009718,832925,1428
NZ_CP009717,832925,1428
NZ_CP012100,1182785,1428
NZ_CP012101,1182785,1428
NZ_CP012102,1182785,1428
NZ_CP012103,1182785,1428
NZ_CP012104,1182785,1428
NZ_CP012105,1182785,1428
NZ_CP012106,1182785,1428
NZ_CP012107,1182785,1428
NZ_CP012108,1182785,1428
NZ_CP016589,1692675,1428
NZ_CP016590,1692675,1428
NZ_CP020003,2025105,1428
NZ_CP020004,2025105,1428
NZ_CP020005,2025105,1428
NZ_CP015356,1685565,1428
NZ_CP015355,1685565,1428
NZ_CP015354,1685565,1428
NZ_CP015353,1685565,1428
NZ_CP015352,1685565,1428
NZ_CP015360,1685565,1428
NZ_CP015351,1685565,1428
NZ_CP015359,1685565,1428
NZ_CP015358,1685565,1428
NZ_CP015357,1685565,1428
NZ_CP015361,1685565,1428
NZ_CP017575,2173755,1428
NZ_CP017574,2173755,1428
NZ_CP017576,2173755,1428
NZ_CP017573,2173755,1428
NZ_CP011350,1017635,1428
NZ_CP011355,1017635,1428
NZ_CP011356,1017635,1428
NZ_CP011357,1017635,1428
NZ_CP011358,1017635,1428
NZ_CP011351,1017635,1428
NZ_CP011352,1017635,1428
NZ_CP011353,1017635,1428
NZ_CP011354,1017635,1428
NZ_CP019231,2184245,1428
NZ_CP019232,2184245,1428
NZ_CP019233,2184245,1428
NZ_CP019234,2184245,1428
NZ_CP019235,2184245,1428
NZ_CP013056,1420855,1428
NZ_CP013057,1420855,1428
NZ_CP013058,1420855,1428
NZ_CP013059,1420855,1428
NZ_CP013060,1420855,1428
NZ_CP013061,1420855,1428
NZ_CP022342,2216755,492670
NZ_CP022343,2216755,492670
NZ_CP017776,1857985,492670
NZ_CP019039,2005345,492670
NZ_CP009680,769555,492670
NZ_CP022557,2238395,492670
NZ_CP022558,2238395,492670
NZ_CP021977,2205715,492670
NZ_HG969193,689355,85701
NZ_CP010414,1281425,1685
NZ_CP010454,1293145,216816
NZ_CP016462,1713435,1842535
NZ_CP016458,1713435,1842535
NZ_CP016459,1713435,1842535
NZ_CP016461,1713435,1842535
NZ_CP016173,1676725,463014
NZ_CP016441,1698185,1331258
NZ_LT546646,900078695,123899
NZ_CP009060,962775,29518
NZ_CP009070,962775,29518
NZ_CP009069,962775,29518
NZ_CP009071,962775,29518
NZ_CP009068,962775,29518
NZ_CP009061,962775,29518
NZ_CP009062,962775,29518
NZ_CP009063,962775,29518
NZ_CP009064,962775,29518
NZ_CP009065,962775,29518
NZ_CP009066,962775,29518
NZ_CP009067,962775,29518
NZ_CP009059,962775,29518
NZ_CP009213,741005,29518
NZ_CP009214,741005,29518
NZ_CP018882,1936255,143
NZ_CP014325,1936255,143
NZ_CP014605,1936255,143
NZ_CP014521,1936255,143
NZ_CP014520,1936255,143
NZ_CP019755,2151505,139
NZ_CP019758,2151505,139
NZ_CP019759,2151505,139
NZ_CP019756,2151505,139
NZ_CP019760,2151505,139
NZ_CP019761,2151505,139
NZ_CP019762,2151505,139
NZ_CP019763,2151505,139
NZ_CP019764,2151505,139
NZ_CP019765,2151505,139
NZ_CP019766,2151505,139
NZ_CP019757,2151505,139
NZ_CP014351,1660005,140
NZ_CP015335,1660005,140
NZ_CP014792,1660005,140
NZ_CP014871,1660005,140
NZ_CP015336,1660005,140
NZ_CP015334,1660005,140
NZ_CP015331,1660005,140
NZ_CP015332,1660005,140
NZ_CP015333,1660005,140
NZ_CP014350,1660005,140
NZ_CP015337,NA,NA
NZ_CP015781,1945665,1674146
NZ_CP015782,1945665,1674146
NZ_CP015783,1945665,1674146
NZ_CP015784,1945665,1674146
NZ_CP015785,1945665,1674146
NZ_CP015786,1945665,1674146
NZ_CP015787,1945665,1674146
NZ_CP015788,1945665,1674146
NZ_CP015789,1945665,1674146
NZ_CP015790,1945665,1674146
NZ_CP015791,1945665,1674146
NZ_CP015792,1945665,1674146
NZ_CP015793,1945665,1674146
NZ_CP015794,1945665,1674146
NZ_CP015795,1945665,1674146
NZ_CP015797,1936295,1674146
NZ_CP015798,1936295,1674146
NZ_CP015799,1936295,1674146
NZ_CP015800,1936295,1674146
NZ_CP015801,1936295,1674146
NZ_CP015802,1936295,1674146
NZ_CP015962,1936295,1674146
NZ_CP015803,1936295,1674146
NZ_CP015804,1936295,1674146
NZ_CP015805,1936295,1674146
NZ_CP015806,1936295,1674146
NZ_CP015807,1936295,1674146
NZ_CP015808,1936295,1674146
NZ_CP015809,1936295,1674146
NZ_CP007036,NA,NA
NZ_CP019362,12085,142
NZ_CP019363,12085,142
NZ_CP019364,12085,142
NZ_CP019365,12085,142
NZ_CP019366,12085,142
NZ_CP019367,12085,142
NZ_CP019368,12085,142
NZ_CP019369,12085,142
NZ_CP019845,2151465,139
NZ_CP019846,2151465,139
NZ_CP019847,2151465,139
NZ_CP019848,2151465,139
NZ_CP019849,2151465,139
NZ_CP019850,2151465,139
NZ_CP019851,2151465,139
NZ_CP019852,2151465,139
NZ_CP019853,2151465,139
NZ_CP019854,2151465,139
NZ_CP019855,2151465,139
NZ_CP019917,2151485,139
NZ_CP019919,2151485,139
NZ_CP019920,2151485,139
NZ_CP019918,2151485,139
NZ_CP019921,2151485,139
NZ_CP019922,2151485,139
NZ_CP019923,2151485,139
NZ_CP019924,2151485,139
NZ_CP019925,2151485,139
NZ_CP019926,2151485,139
NZ_CP018750,1922545,29519
NZ_CP018754,1922545,29519
NZ_CP018755,1922545,29519
NZ_CP018749,1922545,29519
NZ_CP018745,1922545,29519
NZ_CP018746,1922545,29519
NZ_CP018747,1922545,29519
NZ_CP018748,1922545,29519
NZ_CP018751,1922545,29519
NZ_CP018752,1922545,29519
NZ_CP018753,1922545,29519
NZ_CP009118,739475,62088
NZ_CP009119,739475,62088
NZ_CP022370,2220095,2015316
NZ_CP022371,2220095,2015316
NZ_CP014302,1562255,1792307
NZ_CP016463,1713455,1842539
NZ_CP017148,1741865,1526658
NZ_CP022317,2216795,2017485
NZ_CP022318,2216795,2017485
NZ_AP014659,1549695,1355477
NZ_AP014686,1549695,1355477
NZ_AP014687,1549695,1355477
NZ_AP014688,1549695,1355477
NZ_CP007808,219535,1465
NZ_CP007807,219535,1465
NZ_CP009254,1280225,9
NZ_CP009255,1280225,9
NZ_LT667504,900128735,9
NZ_LT635894,900128595,9
NZ_LT635895,900128595,9
NZ_LN890286,900016785,9
NZ_LN890287,900016785,9
NZ_CP002704,521585,9
NZ_CP002702,521565,9
NZ_CP002698,521525,9
NZ_CP002700,521545,9
NZ_LT667501,900128725,9
NZ_LT667502,900128725,9
NZ_CP009797,959545,152480
NZ_CP012748,522545,75105
NZ_CP013104,1449005,75105
NZ_CP013105,1449005,75105
NZ_CP015032,1606115,95486
NZ_CP015038,1606135,95486
NZ_CP011920,1484665,95486
NZ_CP019671,1999885,95486
NZ_CP012984,1411495,292
NZ_CP022081,2209085,292
NZ_CP023524,2393425,28095
NZ_CP022007,2208175,28095
NZ_CP022008,2208175,28095
NZ_CP022009,2208175,28095
NZ_CP009321,959725,28095
NZ_CP009320,959725,28095
NZ_CP009319,959725,28095
NZ_CP009433,960995,337
NZ_CP009432,960995,337
NZ_CP013436,1718795,488446
NZ_CP007214,1411805,41899
NZ_CP018385,2111125,28450
NZ_CP013379,1718415,1207504
NZ_CP011506,1028665,60550
NZ_CP009547,959325,1468409
NZ_CP013381,1513745,1740162
NZ_CP012899,176935,640510
NZ_CP013419,1524445,1637837
NZ_CP013423,1524625,1637841
NZ_CP014580,1634365,1804984
NZ_CP014581,1634365,1804984
NZ_CP014582,1634365,1804984
NZ_CP014308,1557535,1795043
NZ_CP014309,1557535,1795043
NZ_CP014310,1557535,1795043
NZ_CP014311,1557535,1795043
NZ_CP014312,1557535,1795043
NZ_CP014508,1577465,1795874
NZ_CP014509,1577465,1795874
NZ_CP014510,1577465,1795874
NZ_CP014511,1577465,1795874
NZ_CP014512,1577465,1795874
NZ_AP014579,828875,758796
NZ_AP014580,828875,758796
NZ_AP014581,828875,758796
NZ_CP009155,770565,28450
NZ_CP009154,770565,28450
NZ_CP010016,959605,57975
NZ_CP013412,1718635,57975
NZ_CP013462,1718975,101571
NZ_CP013415,1718655,101571
NZ_CP013369,1718355,101571
NZ_CP009629,959445,60552
NZ_CP013454,1718915,60552
NZ_CP017832,1858005,185008
NZ_CP017833,1858005,185008
NZ_CP011383,734895,1337936
NZ_CP011384,734895,1337936
